sample.set,chrom,start,end
Korle-Bu_coluzzii_PM,2R,3853444,3864749
Korle-Bu_coluzzii_PM,2R,3910531,3922880
Madina_gambiae_Delta,2R,28401363,28416200
Madina_gambiae_Delta,2R,28454838,28474602
Obuasi_gambiae_Delta,2R,28250033,28262588
Obuasi_gambiae_Delta,2R,28262588,28274893
Obuasi_gambiae_Delta,2R,28274893,28289873
Obuasi_gambiae_Delta,2R,28289873,28306606
Obuasi_gambiae_Delta,2R,28306605,28322681
Obuasi_gambiae_Delta,2R,28322681,28337951
Obuasi_gambiae_Delta,2R,28337951,28354693
Obuasi_gambiae_Delta,2R,28354692,28369784
Obuasi_gambiae_Delta,2R,28369784,28391434
Obuasi_gambiae_Delta,2R,28391433,28405240
Obuasi_gambiae_Delta,2R,28405239,28421116
Obuasi_gambiae_Delta,2R,28421116,28439220
Obuasi_gambiae_Delta,2R,28439219,28456407
Obuasi_gambiae_Delta,2R,28456407,28475225
Obuasi_gambiae_Delta,2R,28475225,28496115
Obuasi_gambiae_PM,2R,3474360,3509400
Obuasi_gambiae_PM,3R,48454456,48494640
Madina_gambiae_PM,2R,3139713,3150836
Madina_gambiae_PM,2R,3150835,3162141
Madina_gambiae_PM,2R,3251890,3268384
Madina_gambiae_PM,2R,3268384,3281935
Madina_gambiae_PM,2R,3281934,3294690
Madina_gambiae_PM,2R,3294689,3307318
Madina_gambiae_PM,2R,3307317,3322007
Madina_gambiae_PM,2R,3322007,3337657
Madina_gambiae_PM,2R,3337656,3348680
Madina_gambiae_PM,2R,3348679,3366132
Madina_gambiae_PM,2R,3366131,3379092
Madina_gambiae_PM,2R,3379091,3392141
Madina_gambiae_PM,2R,3392141,3407389
Madina_gambiae_PM,2R,3407389,3423675
Madina_gambiae_PM,2R,3423674,3437319
Madina_gambiae_PM,2R,3437318,3452465
Madina_gambiae_PM,2R,3452464,3469179
Madina_gambiae_PM,2R,3469178,3485345
Madina_gambiae_PM,2R,3485344,3505959
Madina_gambiae_PM,2R,3505959,3530340
Madina_gambiae_PM,2R,3530339,3544783
