Gene_stable_ID	Gene name	Descriptions	GO_terms
AGAP000053		Mannose-6-phosphate isomerase [Source:UniProtKB/TrEMBL	GO:0005975;GO:0005829;GO:0004476;GO:0006486;GO:0009298;GO:0000032;GO:0008270
AGAP000056		neuronal PAS domain-containing protein	GO:0046983;GO:0006355
AGAP000057		paired box protein	GO:0003677;GO:0005634;GO:0007275;GO:0006355
AGAP000058			GO:0003677;GO:0043565;GO:0003676;GO:0006355;GO:0008270
AGAP000061		One cut domain family member [Source:UniProtKB/TrEMBL	GO:0030154;GO:0005634;GO:0003677;GO:0045944
AGAP000062			GO:0005634;GO:0003676
AGAP000063		paired box protein	GO:0003677
AGAP000064	plexA	plexin A	GO:0002116;GO:0007165;GO:0007162;GO:0043087;GO:1902287;GO:0008360;GO:0017154;GO:0030334;GO:0097374;GO:0071526;GO:0050772;GO:0005887;GO:0005515
AGAP000065			GO:0005509;GO:0005543;GO:0035556;GO:0007268;GO:0019992
AGAP000066			GO:0045892;GO:0003677;GO:0005634;GO:0045165;GO:0045944
AGAP000067			GO:0003677;GO:0006355
AGAP000068	NFI	nuclear factor I	GO:0005622;GO:0005634;GO:0006355;GO:0003700
AGAP000069			GO:0006357;GO:0043565;GO:0005634;GO:0009653;GO:0006355;GO:0003700;GO:0000981;GO:0030154
AGAP000070		protein kinase	GO:0004672;GO:0035556;GO:0006468;GO:0004697;GO:0046872;GO:0089700;GO:0005524
AGAP000071			GO:0003677;GO:0044212;GO:0005634;GO:0005667;GO:0003700;GO:0008134
AGAP000072			GO:0003677;GO:0044212;GO:0005634;GO:0005667;GO:0003700;GO:0008134
AGAP000073		gamma-sarcoglycan	GO:0016012;GO:0016021
AGAP000074			GO:0016021
AGAP000075		otopetrin	
AGAP000076		sterol regulatory element-binding transcription factor 1	GO:0046983;GO:0016021;GO:0006355
AGAP000078			
AGAP000079			GO:0022841;GO:0071805;GO:0030322;GO:0005267;GO:0016020;GO:0005887
AGAP000080			GO:0003677;GO:0006357;GO:0005634;GO:0003676;GO:0005515
AGAP000081		glucuronyl/N-acetylglucosaminyl transferase	GO:0006024;GO:0015020;GO:0006486;GO:0015012;GO:0016021;GO:0016757
AGAP000082		translation initiation factor eIF-2B subunit epsilon	GO:0016779;GO:0031369;GO:0009058;GO:0005085;GO:0005851;GO:0003743;GO:0005515
AGAP000085	CPR129	cuticular protein RR-2 family 129	GO:0042302
AGAP000088	CYP4H19	cytochrome P450	GO:0055114;GO:0020037;GO:0016705;GO:0004497;GO:0005506
AGAP000090		adenylate cyclase	GO:0009190;GO:0035556;GO:0016849
AGAP000091		methylsterol monooxygenase	GO:0008610;GO:0055114;GO:0016126;GO:0000254;GO:0016021;GO:0016491;GO:0005789;GO:0005506
AGAP000092		methylsterol monooxygenase	GO:0008610;GO:0055114;GO:0016126;GO:0000254;GO:0016021;GO:0016491;GO:0005789;GO:0005506
AGAP000093			GO:0016021
AGAP000094		4-nitrophenylphosphatase	GO:0005737;GO:0016311;GO:0016791
AGAP000095		anoctamin 5	GO:0016021;GO:0046983
AGAP000096			GO:0016021
AGAP000097		solute carrier family 25	GO:0055085;GO:0022857;GO:0005743
AGAP000098	APG1	autophagy related gene	GO:0004672;GO:0000045;GO:0000407;GO:0005829;GO:0006468;GO:0046777;GO:0010506;GO:0016020;GO:0005524;GO:0004674
AGAP000099	STAT2	JAKSTAT pathway signalling transcription factor	GO:0007165;GO:0003677;GO:0005634;GO:0003700;GO:0006355;GO:0005737
AGAP000100			GO:0005375;GO:0006878;GO:0016021;GO:0035434;GO:0005886
AGAP000102		alpha-1,6-mannosyltransferase	GO:0000030;GO:0005789;GO:0005783;GO:0006487;GO:0016021;GO:0005788;GO:0052824;GO:0006488;GO:0016757
AGAP000104			GO:0016021;GO:0005246
AGAP000105			
AGAP000106		Ubiquinone biosynthesis monooxygenase COQ6, mitochondrial [Source:UniProtKB/TrEMBL	GO:0031314;GO:0055114;GO:0050660;GO:0071949;GO:0016712;GO:0004497;GO:0016491;GO:0006744;GO:0005739;GO:0016709
AGAP000107			GO:0006811;GO:0016021;GO:0055085;GO:0016020;GO:0005216;GO:0005515
AGAP000108	OEH	ovary ecdysteroidogenic hormone	
AGAP000109		cytochrome c oxidase subunit VIIa	GO:0002082;GO:0097250;GO:0016021;GO:0004129;GO:0009055;GO:0005746
AGAP000110	mRpL40	39S ribosomal protein L40, mitochondrial [Source:UniProtKB/TrEMBL	GO:0005762;GO:0005761
AGAP000111			
AGAP000112		NAD+ synthase (glutamine-hydrolysing)	GO:0006807;GO:0003952;GO:0005737;GO:0009435;GO:0004359;GO:0005524
AGAP000113			GO:0006508;GO:0004181;GO:0008270
AGAP000114		Ovo [Source:UniProtKB/TrEMBL	GO:0003676
AGAP000115	GPRNPY4	neuropeptide Y receptor 4	GO:0007186;GO:0016021;GO:0004983;GO:0004930
AGAP000116		Rab11 family-interacting protein 1/2/5	GO:0017137
AGAP000117		Wnt inhibitory factor 1000117]	
AGAP000118		ubiquinone biosynthesis monooxygenase Coq7	GO:0031314;GO:0055114;GO:0005743;GO:0008682;GO:0005634;GO:0010468;GO:0046872;GO:0006744;GO:2000377;GO:0008340;GO:0016709
AGAP000119		golgi to ER traffic protein 4 homolog	GO:0045048;GO:0071818;GO:0005515
AGAP000120		tubulin folding cofactor B	GO:0005515
AGAP000121			GO:0005515
AGAP000123	CTLSE2	C-type lectin (CTL)	
AGAP000124		inositol polyphosphate-4-phosphatase	GO:0005737;GO:0016316
AGAP000126			GO:0007165;GO:0005096
AGAP000127		zinc finger protein-like 1 homolog	GO:0016021
AGAP000128		MFS transporter, VNT family, synaptic vesicle glycoprotein 2	GO:0055085;GO:0022857;GO:0016021
AGAP000129			GO:0042277;GO:0005737;GO:0008237;GO:0006508;GO:0043171;GO:0070006;GO:0008270
AGAP000131			GO:0008270;GO:0008237
AGAP000132			GO:0006473;GO:0016410
AGAP000133			
AGAP000136		tetratricopeptide repeat domain 21B	GO:0035721;GO:0030991;GO:0061512;GO:0005929;GO:0005515
AGAP000137		solute carrier family 45, member 1/2/4	GO:0016020;GO:0016021;GO:0008506
AGAP000138	alpha4	nicotinic acetylcholine receptor subunit alpha 4	GO:0042391;GO:0007165;GO:0005887;GO:0043005;GO:0006811;GO:0045202;GO:0007268;GO:0022848;GO:0004888;GO:0005230;GO:0016021;GO:0050877;GO:0045211;GO:0030054;GO:0005216;GO:0034220
AGAP000139		DNA polymerase gamma	GO:0003677;GO:0006260;GO:0003887;GO:0005760
AGAP000140	IR100a	ionotropic receptor IR100a	GO:0016021
AGAP000141			GO:0003676
AGAP000142			GO:0017137;GO:0005515
AGAP000143		beta-mannosidase	GO:0004567;GO:0046355;GO:0006516;GO:0005764
AGAP000144		progestin and adipoQ receptor family member 3	GO:0016021
AGAP000145	eff	E2 ubiquitin-conjugating enzyme E2D, effete	GO:0031625;GO:0061631;GO:0005524;GO:0006511;GO:0000151
AGAP000146			
AGAP000147		PDZ-binding kinase	GO:0004672;GO:0006468;GO:0000278;GO:0004674;GO:0005524
AGAP000149		Ras association domain-containing protein 2/4	GO:0007165;GO:0046872
AGAP000150	SG6	salivary gland protein 6	
AGAP000151			
AGAP000152			
AGAP000153			GO:0005509;GO:0005913;GO:0007156;GO:0016021;GO:0016020;GO:0007155;GO:0005886
AGAP000154		AMP dependent ligase	GO:0003824
AGAP000155		alkylated DNA repair protein alkB homolog	GO:0055114;GO:0005719;GO:0051213;GO:0008198;GO:0016491;GO:0005739
AGAP000156			GO:0016021
AGAP000158		histone arginine demethylase	
AGAP000159		Kinesin-like protein [Source:UniProtKB/TrEMBL	GO:0005871;GO:0007018;GO:0003777;GO:0005813;GO:0005874;GO:0016887;GO:0008017;GO:0005524
AGAP000160			
AGAP000161		Adaptor-related protein complex 3, delta 1 subunit	GO:0015031;GO:0016192;GO:0030123;GO:0030117;GO:0006886
AGAP000162		Cystathionine beta-synthase [Source:UniProtKB/TrEMBL	GO:0030170;GO:0070814;GO:0019346;GO:0005737;GO:0050667;GO:0004122;GO:0006535;GO:0019343;GO:0004124
AGAP000163	GSTMS2	glutathione transferase microsomal 2	GO:0055114;GO:0001516;GO:0050220;GO:0016740;GO:0016021
AGAP000164			GO:0003676
AGAP000165	GSTMS1	glutathione transferase microsomal 1	GO:0055114;GO:0001516;GO:0050220;GO:0016021;GO:0016740
AGAP000166			GO:0004623;GO:0050482;GO:0006644
AGAP000167		Lipid storage droplets surface-binding protein 2	
AGAP000168	GPRFZ3	Putative frizzled receptor 3 [Source:UniProtKB/TrEMBL	GO:0016055;GO:0007275;GO:0016021;GO:0007166;GO:0016020;GO:0004888;GO:0005515
AGAP000169		fanconi anemia group M protein	GO:0003677;GO:0043140;GO:0006281;GO:0016787;GO:0005524
AGAP000170		NADH dehydrogenase (ubiquinone) Fe-S protein 7	GO:0032981;GO:0055114;GO:0051539;GO:0046872;GO:0051536;GO:0009060;GO:0005747;GO:0008137;GO:0015990;GO:0048038
AGAP000171		E3 ubiquitin-protein ligase	GO:0030163;GO:0071596;GO:0061630;GO:0008270
AGAP000173			
AGAP000177	CPR128	cuticular protein RR-2 family 128	GO:0031012;GO:0042302
AGAP000178		splicing factor 3B subunit 1	GO:0005686;GO:0003729;GO:0071004;GO:0071013;GO:0005689;GO:0000245
AGAP000179		Amidophosphoribosyltransferase [Source:UniProtKB/TrEMBL	GO:0009113;GO:0046872;GO:0009116;GO:0004044;GO:0051536;GO:0006189
AGAP000180		phosphoribosylaminoimidazole carboxylase	GO:0004639;GO:0005829;GO:0006164;GO:0006189
AGAP000181		riboflavin transporter 2	GO:0032217;GO:0005887;GO:0032218
AGAP000182			GO:0004252;GO:0006508
AGAP000183			
AGAP000184		malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+)	GO:0004471;GO:0055114;GO:0006108;GO:0006090;GO:0004470;GO:0046872;GO:0005739;GO:0051287;GO:0004473
AGAP000185		double stranded RNA-specific editase	GO:0006396;GO:0004000;GO:0003723
AGAP000186			
AGAP000187			GO:0005871;GO:0019894;GO:0016021;GO:0005515
AGAP000188		Uridine phosphorylase [Source:UniProtKB/TrEMBL	GO:0009166;GO:0044206;GO:0009116;GO:0005737;GO:0016763;GO:0003824;GO:0004850
AGAP000189		transcription initiation factor TFIID subunit 3	GO:0005669;GO:0046982;GO:0046872
AGAP000190			GO:0003677;GO:0043565;GO:0001085;GO:0005634;GO:0009653;GO:0006355;GO:0007275;GO:0000978
AGAP000191			GO:0016021
AGAP000192	CYP4C26	cytochrome P450	GO:0055114;GO:0020037;GO:0016705;GO:0005506
AGAP000193	CYP4C37	cytochrome P450	GO:0055114;GO:0020037;GO:0016705;GO:0016021;GO:0004497;GO:0005506
AGAP000194	CYP4C25	cytochrome P450	GO:0055114;GO:0020037;GO:0016705;GO:0016021;GO:0004497;GO:0005506
AGAP000195		cytoplasmic FMR1 interacting protein	GO:0043005;GO:0031209;GO:0045202;GO:0030031;GO:0000340;GO:0006417;GO:0007411;GO:0000902
AGAP000196			GO:0003677;GO:0005634;GO:0003676;GO:0003700;GO:0008270
AGAP000198	Cht5-5	Chitinase [Source:UniProtKB/TrEMBL	GO:0005975;GO:0004553;GO:0005576;GO:0008061;GO:0006030
AGAP000199		phospholipase D3/4	GO:0016021;GO:0003824
AGAP000200			GO:0080008;GO:0005515
AGAP000201		26S proteasome non-ATPase regulatory subunit 9 [Source:UniProtKB/TrEMBL	GO:0070682;GO:0005634;GO:0005737;GO:0008540;GO:0005515
AGAP000202			GO:0003779
AGAP000203		inositol-1,4,5-trisphosphate 5-phosphatase	GO:0046855;GO:0004445;GO:0048016;GO:0046856
AGAP000204			
AGAP000205			GO:0036459;GO:0016579
AGAP000206			GO:0016021
AGAP000209		glutamate receptor binding protein	GO:0005515
AGAP000210		triacylglycerol lipase	GO:0052689;GO:0005615;GO:0016042;GO:0004806;GO:0016298;GO:0046872;GO:0006629
AGAP000211		triacylglycerol lipase	GO:0052689;GO:0005615;GO:0016042;GO:0004806;GO:0016298;GO:0046872;GO:0006629
AGAP000213		ankyrin repeat and SOCS box protein 17	GO:0035556
AGAP000214		guanylate cyclase soluble subunit beta	GO:0004383;GO:0020037;GO:0035556;GO:0016849;GO:0009190;GO:0006182;GO:0000166
AGAP000215		homeobox protein OTX	GO:0005634;GO:0003677
AGAP000216			GO:0005515
AGAP000217			
AGAP000218			GO:0016021
AGAP000219		Tektin-3	
AGAP000220		xylulokinase	GO:0005975;GO:0004856;GO:0016310;GO:0016773;GO:0005737;GO:0005997
AGAP000222			GO:0005515
AGAP000223			GO:0005515
AGAP000225		netrin 1	GO:0008045;GO:0016358;GO:0005604;GO:0009888;GO:0009887;GO:0005515
AGAP000226	Or41	odorant receptor 41	GO:0007165;GO:0005549;GO:0007608;GO:0016021;GO:0016020;GO:0005886;GO:0050911;GO:0004984
AGAP000228		netrin 1	GO:0005515
AGAP000230	Or52	odorant receptor 52	GO:0007165;GO:0005549;GO:0007608;GO:0016021;GO:0016020;GO:0005886;GO:0050911;GO:0004984
AGAP000232		regulator of G-protein signaling	GO:0035556;GO:0007186
AGAP000233			GO:0005515
AGAP000234			GO:0004672;GO:0006468;GO:0035556;GO:0005634;GO:0005737;GO:0004674;GO:0004711;GO:0005524
AGAP000235		Thymosin	GO:0007015;GO:0005829;GO:0003785
AGAP000236		3',5'-cyclic-nucleotide phosphodiesterase	GO:0007165;GO:0004114;GO:0046872;GO:0008081
AGAP000237		cAMP response element-binding protein (CREB)	GO:0003677;GO:0005634;GO:0005667;GO:0003700;GO:0006355;GO:0005515
AGAP000238			
AGAP000239		allantoinase	GO:0004038;GO:0050897;GO:0000256;GO:0005737;GO:0016888;GO:0016810;GO:0016787;GO:0006145;GO:0008270
AGAP000240		HtrA serine peptidase 2	GO:0004252;GO:0006508;GO:0005515
AGAP000241		N-acetylglucosamine kinase	GO:0045127
AGAP000242		vesicle transport protein SEC20	GO:0016021
AGAP000243		Rhophilin-2	GO:0007165;GO:0005515
AGAP000244			GO:0005515
AGAP000245			GO:0016021
AGAP000246			GO:0060271;GO:0005813;GO:0030992;GO:0005929
AGAP000247			GO:0016021
AGAP000248		protein phosphatase 1H	GO:0006470;GO:0004722;GO:0003824;GO:0043169
AGAP000249		mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase	GO:0005737;GO:0033925;GO:0006517
AGAP000250		STAGA complex 65 subunit gamma	GO:0004402;GO:0003713;GO:0043966;GO:0030914
AGAP000251			
AGAP000252		oligopeptidase A	GO:0046872;GO:0006518;GO:0004222;GO:0006508
AGAP000253		solute carrier family 25	GO:0022857;GO:0016021
AGAP000254		potassium voltage-gated channel Shaker-related subfamily A	GO:0006811;GO:0008076;GO:0006813;GO:0055085;GO:0016020;GO:0005249;GO:0005216
AGAP000255		disks large protein 1	GO:0043005;GO:0016323;GO:0098839;GO:0007268;GO:0035255;GO:0098609;GO:0043113;GO:0031594;GO:0045197;GO:0030054;GO:0097120;GO:0005515
AGAP000256	IR93a	ionotropic receptor IR93a	GO:0045211;GO:0035249;GO:1904315;GO:0008066;GO:0016021;GO:0016020;GO:0004970;GO:0005886;GO:0050804
AGAP000258		Hexosyltransferase [Source:UniProtKB/TrEMBL	GO:0008376;GO:0005783;GO:0006487;GO:0000139;GO:0005794;GO:0006486;GO:0008378;GO:0016021;GO:0008499;GO:0009312;GO:0016020
AGAP000260	ATPsynepsilon	mitochondrial ATP synthase epsilon chain	GO:0000275;GO:0046933;GO:0015986;GO:0005743
AGAP000261		DnaJ-like protein subfamily C	GO:0005634;GO:0003677;GO:0016021
AGAP000262			GO:0005623;GO:0009055;GO:0045454;GO:0015035
AGAP000264			
AGAP000266			
AGAP000267			
AGAP000268			
AGAP000269		ubiquitin carboxyl-terminal hydrolase 30	GO:0004843;GO:0004197;GO:0036459;GO:0016579;GO:0016021;GO:0006511
AGAP000270		nucleolar protein 53	GO:0000027;GO:0005654;GO:0008097;GO:0005730;GO:0006364
AGAP000271			GO:0008565;GO:0006611
AGAP000272		transcription initiation factor TFIID subunit 9 / adenylate kinase	GO:0005634;GO:0005737;GO:0016887;GO:0004017;GO:0005524
AGAP000273			
AGAP000274			GO:0003796
AGAP000275		epidermal retinal dehydrogenase	GO:0016021;GO:0005811;GO:0016491
AGAP000277		EF-hand calcium-binding domain-containing protein 1	GO:0005509
AGAP000278	OBP9	odorant-binding protein 9	GO:0005549;GO:0007608
AGAP000279	Obp8	Odorant-binding protein 8 [Source:UniProtKB/TrEMBL	GO:0005549
AGAP000280		guanylate cyclase soluble subunit alpha	GO:0004383;GO:0020037;GO:0035556;GO:0016849;GO:0009190;GO:0006182;GO:0000166
AGAP000281			
AGAP000283			
AGAP000284	CYP315A1	cytochrome P450	GO:0055114;GO:0020037;GO:0016705;GO:0016021;GO:0005506
AGAP000285			GO:0016021
AGAP000286			GO:0005634;GO:0003676;GO:0008270
AGAP000287		prostaglandin reductase 1, gene	GO:0055114;GO:0016491
AGAP000288		prostaglandin reductase 1	GO:0055114;GO:0032440;GO:0047522;GO:0005737;GO:0016491
AGAP000289		prostaglandin reductase 1, gene 2	GO:0055114;GO:0032440;GO:0047522;GO:0005737;GO:0016491
AGAP000290	CLIPA27	CLIP-domain serine protease	GO:0004252;GO:0006508
AGAP000291		Translocase of inner mitochondrial membrane 44 homolog (yeast)	GO:0051087;GO:0030150;GO:0005743
AGAP000292			GO:0005515
AGAP000293	IR100h	ionotropic receptor IR100h	GO:0016021
AGAP000294			
AGAP000295			GO:0016020;GO:0016021
AGAP000296			
AGAP000297			GO:0016020;GO:0016021
AGAP000298			GO:0016020;GO:0016021
AGAP000299			GO:0016021
AGAP000300		Bifunctional pyrimidine biosynthesis protein (PyrABCN)	GO:0004151;GO:0006207;GO:0005524;GO:0004070;GO:0046872;GO:0005737;GO:0016597;GO:0016743;GO:0006541;GO:0005829;GO:0006807;GO:0019240;GO:0016810;GO:0004088;GO:0006228;GO:0016812;GO:0016787;GO:0006520
AGAP000301			
AGAP000303			GO:0004252;GO:0016021;GO:0006508;GO:0005515
AGAP000304		Protein twisted gastrulation	
AGAP000305		SPARC	GO:0005615;GO:0005509;GO:0005515
AGAP000306		Histone H2A [Source:UniProtKB/TrEMBL	GO:0006325;GO:0003677;GO:0005634;GO:0000790;GO:0000786;GO:0046982
AGAP000307		Integrin alpha-PS1	GO:0007155;GO:0008305
AGAP000308		proteasome activator subunit 3 (PA28 gamma)	GO:0005654;GO:0061136;GO:0010950;GO:0005737;GO:0008537;GO:0061133;GO:2000045
AGAP000309			GO:0052689;GO:0005615;GO:0006629;GO:0016042;GO:0016298
AGAP000310		mitogen-activated protein kinase kinase 3	GO:0004672;GO:0031098;GO:0006468;GO:0000187;GO:0004708;GO:0005737;GO:0023014;GO:0032147;GO:0005524;GO:0004674
AGAP000311		UNC93-like protein MFSD11	GO:0016021
AGAP000312			GO:0061630;GO:0043161
AGAP000313		alanine-glyoxylate aminotransferase 2-like	GO:0030170;GO:0008483;GO:0003824
AGAP000314			GO:0031462;GO:1902667;GO:0008270
AGAP000315	CLIPC6	CLIP-domain serine protease	GO:0004252;GO:0006508
AGAP000316			GO:0016021
AGAP000317			GO:0003677;GO:0005634;GO:0003713;GO:0016513;GO:0003712
AGAP000319		katanin p80 WD40 repeat-containing subunit	GO:0051013;GO:0008352;GO:0008017;GO:0005515
AGAP000320		dynein intermediate chain, cytosolic	GO:0045504;GO:0045503;GO:0007018;GO:0005868;GO:0005515
AGAP000321			GO:0009116;GO:0003824
AGAP000322		Adaptin ear-binding coat-associated protein 1	GO:0016020;GO:0030125;GO:0006897
AGAP000323			
AGAP000324		tRNA (guanine9-N1)-methyltransferase	GO:0000049;GO:0090646;GO:0005634;GO:0005654;GO:0009019;GO:0008168;GO:0005739
AGAP000325		lysyl-tRNA synthetase, class II	GO:0000049;GO:0005829;GO:0004812;GO:0003676;GO:0000166;GO:0017101;GO:0005737;GO:0006418;GO:0006430;GO:0004824;GO:0005739;GO:0005524
AGAP000326			GO:0032981;GO:0005739
AGAP000327		tyrosine aminotransferase	GO:0008483;GO:0030170;GO:0004838;GO:0009072;GO:0003824;GO:0006520;GO:0009058
AGAP000328		AMME syndrome candidate gene 1 protein	
AGAP000329	alpha3	nicotinic acetylcholine receptor subunit alpha 3	GO:0007165;GO:0030054;GO:0042391;GO:0006811;GO:0043005;GO:0045202;GO:0045211;GO:0007268;GO:0022848;GO:0005230;GO:0016021;GO:0050877;GO:0005216;GO:0004888;GO:0005887;GO:0034220
AGAP000330			GO:0016021
AGAP000331		low density lipoprotein-related protein 2]	GO:0005509;GO:0005515
AGAP000332	Vir	protein virilizer	
AGAP000334			GO:0016021
AGAP000336		transcription initiation factor TFIID TATA-box-binding protein	GO:0003677;GO:0006352
AGAP000337		regulator of nonsense transcripts 2	GO:0005515;GO:0000184;GO:0003723
AGAP000338		phosphomevalonate kinase	GO:0005777;GO:0004631;GO:0019287;GO:0005737;GO:0006695;GO:0005524
AGAP000339		E3 ubiquitin-protein ligase Hakai	GO:0016567;GO:0061630
AGAP000340			GO:0016021;GO:0005515
AGAP000341	GALE2	galectin 2	GO:0016936;GO:0030246
AGAP000342		inhibin, beta	GO:0008083
AGAP000343	Vps50	vacuolar protein sorting 50	GO:0005829;GO:1990745;GO:0032456;GO:0042147
AGAP000344	CPR127	cuticular protein RR-1 family 127	GO:0042302
AGAP000345	CPR126	cuticular protein RR-2 family 126	GO:0042302
AGAP000346	SPZ1	spaetzle-like cytokine 1	
AGAP000347	CAPA	pyrokinin capa-like	
AGAP000348			GO:0070588;GO:0006811;GO:0016021;GO:0005262;GO:0055085;GO:0016020;GO:0005216;GO:0005515
AGAP000349		transient receptor potential cation channel subfamily C, invertebrate	
AGAP000351	GPRNPY1	neuropeptide Y receptor 1	GO:0007186;GO:0016021;GO:0004983;GO:0004930
AGAP000352	TWDL1	cuticular protein TWDL family (TWDL1)	
AGAP000354			
AGAP000355			GO:0046872
AGAP000356			
AGAP000357		E3 ubiquitin-protein ligase ZNRF1/2	GO:0032504;GO:0005615
AGAP000358			GO:0006816;GO:0005794;GO:0016021;GO:0032469;GO:0005789
AGAP000359		venom allergen	GO:0005975;GO:0005576;GO:0008061;GO:0006030;GO:0003824
AGAP000360			GO:0016021;GO:0005515
AGAP000361			GO:0006811;GO:0016021;GO:0055085;GO:0016020;GO:0005216;GO:0005515
AGAP000363			GO:0006897;GO:0098793;GO:0036465;GO:0030100;GO:0016192;GO:0030131;GO:0006886
AGAP000364		protein stoned-A	
AGAP000365		alpha-1,3-fucosyltransferase	GO:0008417;GO:0036065;GO:0006486;GO:0046920;GO:0016021;GO:0016020;GO:0032580
AGAP000366			
AGAP000367		glyoxalase domain-containing protein 4	
AGAP000368		PI-3-kinase-related kinase SMG-1	GO:0016310;GO:0016301;GO:0000184;GO:0004674;GO:0005515
AGAP000369	GPRNNA10	putative GPCR class a orphan receptor 10	GO:0030425;GO:0030594;GO:0007187;GO:0007186;GO:0007268;GO:0004993;GO:0016021;GO:0004930;GO:0005887
AGAP000372			GO:0048856;GO:0005634;GO:0006355;GO:0003723;GO:0005515
AGAP000374		anaphase-promoting complex subunit 1	GO:0005680
AGAP000375			
AGAP000376	Tsf1	Transferrin [Source:UniProtKB/TrEMBL	GO:0006811;GO:0005615;GO:0046872;GO:0005576;GO:0055072
AGAP000377		E3 ubiquitin-protein ligase	GO:0005634;GO:0007275;GO:0008270;GO:0006511;GO:0005515
AGAP000378		programmed cell death protein 4	GO:0045892
AGAP000379	PBD3	piggyBac-derived 3	
AGAP000380		5'-nucleotidase [Source:UniProtKB/TrEMBL	GO:0008253
AGAP000382	CPF4	cuticular protein 4 from fifty-one aa family	
AGAP000383		putative G-protein coupled receptor GPCR	GO:0045892;GO:0048856;GO:0007186;GO:0005634;GO:0005667;GO:0000981;GO:0000976;GO:0016021;GO:0004930
AGAP000385			
